종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
103590,일진전기,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,56700,545.31,27037.6,56500,52500,64500,72400,94.7,89.4,96.1,🔼 BRK (돌파),① 강한 상승 추세,-2.91,72.34,-2.94,31.15,36.97,3,1.0,1.0,1.0,0.96,0.66,0.5,0.76,58.0,71.2,3.29,139.9325,0.3534,1.26,0.66,13.6,0,1,1,1,False,4.42,9.46,51.2,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,9.752820512820513,3.0,1.8571428571428572,0.35398230088495575,🌪️ 에너지 응축 시작 (3일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,1,20251215,20251215,20.05,10.1,51.2,31.15
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,112800,989.89,109951.9,111800,103900,123600,135300,90.8,89.3,89.1,🔥 SQZ (폭발대기),③ 박스 / 중립,1.44,18.86,1.41,-4.48,-16.51,8,1.0,0.99,1.0,0.91,0.4,1.0,0.7,58.7,58.2,3.92,473.6245,0.1254,1.27,0.23,10.09,0,1,1,1,False,2.55,5.42,15.57,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",1.8,9.752820512820513,3.0,1.2134831460674158,0.8944543828264758,🌪️ 8일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),3,2,20251215,20251215,20.05,10.1,15.57,-4.48
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,448000,314.62,57393.2,448000,416500,486000,524000,90.5,79.4,93.9,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-5.49,48.34,-5.52,29.78,12.97,1,0.99,0.88,1.0,1.0,0.57,0.24,0.84,51.7,53.5,1.1,-1902.2203,0.2785,0.72,1.15,10.52,0,1,1,1,False,6.29,-0.67,49.83,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,5.040434782608696,7.0,1.2063492063492063,0.0,🌪️ 에너지 응축 시작 (1일차). 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,3,20251215,20251215,20.05,10.1,49.83,29.78
006910,보성파워텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업",기타,5360,108.97,2633.4,5360,4980,5930,6490,89.9,78.7,93.3,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,1.32,48.89,-2.69,18.75,30.28,14,1.0,1.0,1.0,1.0,0.47,0.01,0.88,57.0,64.5,2.64,19.0383,0.1155,1.07,1.52,14.24,0,1,1,1,True,2.49,4.08,28.85,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,9.752820512820513,3.0,1.5,0.0,🌪️ 14일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 💪 매수세 장악(Power Buying). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,4,20251215,20251215,20.05,10.1,28.85,18.75
352820,하이브,KOSPI,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,미디어·콘텐츠,301000,1283.46,128111.5,301000,282000,329500,358000,87.5,78.8,88.8,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.21,-1.95,2.18,-14.99,-37.32,9,1.0,0.98,0.95,1.0,0.28,1.0,0.6,66.4,69.7,2.6,862.2198,0.1026,2.1,0.32,7.3,1,1,1,1,False,4.15,3.08,5.06,7,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,5.237142857142857,6.0,1.5,0.0,🌪️ 9일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,5,20251215,20251215,20.05,10.1,5.06,-14.99
220100,퓨쳐켐,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,31400,330.25,7033.8,31400,29200,34700,38000,86.6,81.2,95.0,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-1.1,96.62,-5.11,40.86,78.01,3,1.0,1.0,1.0,1.0,0.55,0.26,0.79,57.1,60.4,-0.34,-414.9238,0.0961,0.85,0.22,16.61,0,1,1,0,False,5.02,-4.12,50.96,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,5.040434782608696,7.0,1.5,0.0,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),1,6,20251215,20251215,20.05,10.1,50.96,40.86
000990,DB하이텍,KOSPI,반도체 제조업,반도체 제조업,반도체,65400,178.72,28452.0,65400,60800,72300,79200,86.5,71.0,91.2,↩️ PULL (눌림),⑤ 하락 / 약세,-7.1,39.0,-7.13,5.24,3.63,1,1.0,1.0,1.0,1.0,0.36,0.09,0.76,63.8,75.7,1.06,-45.1487,0.0593,0.72,0.32,11.89,0,1,1,1,True,-1.06,1.4,25.29,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,-2.9254545454545453,15.0,1.5,0.0,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),5,7,20251215,20251215,20.05,10.1,25.29,5.24
005490,POSCO홀딩스,KOSPI,1차 철강 제조업,1차 철강 제조업,철강·금속,318000,808.72,257366.8,318000,301000,343500,369000,86.2,79.8,85.9,↩️ PULL (눌림),④ 바닥 반등 시도,1.11,21.14,1.08,-8.47,-14.23,14,1.0,0.83,0.74,1.0,0.33,0.8,0.75,63.3,59.1,1.93,276.3889,0.026,0.92,-0.23,7.07,1,1,1,1,True,-0.31,2.91,11.58,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",1.8,12.072,2.0,1.5,0.0,🌪️ 14일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,8,20251215,20251215,20.05,10.1,11.58,-8.47
298040,효성중공업,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1901000,870.72,177259.7,1901000,1767000,2061000,2221000,85.6,83.0,92.2,🔁 MR (반전),⑤ 하락 / 약세,-12.23,129.87,-12.26,13.45,94.5,1,0.98,0.87,1.0,1.0,0.5,0.87,0.72,47.3,53.6,-2.19,-7531.0465,0.1053,0.76,-1.44,13.72,0,1,1,0,False,-4.33,5.26,33.5,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1.8,-3.310909090909091,16.0,1.1940298507462686,0.0,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (매수 유효),76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),5,9,20251215,20251215,20.05,10.1,33.5,13.45
021240,코웨이,KOSPI,그외 기타 개인 서비스업,그외 기타 개인 서비스업,서비스 기타,89200,224.54,64142.9,89200,82900,96700,104200,84.8,69.4,89.0,🔺 Watch (상승 준비),④ 바닥 반등 시도,1.02,-8.79,0.99,-29.4,-44.16,28,0.98,0.87,1.0,1.0,0.35,0.14,0.74,50.5,65.9,2.19,278.9575,0.0524,1.1,-0.21,7.25,1,1,1,1,False,1.36,3.48,-9.35,4,★,"RSI적정, MACD상승, 20선근접, 자금유입, MACD>Sig",1.8,2.22421052631579,9.0,1.1904761904761905,0.0,🌪️ 28일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,76.2,70.6,82.1,🔥 과열,1.유통·소비재(+13.1%) / 2.철강·금속(+12.1%) / 3.기타(+9.8%) / 4.IT/전기전자(+6.2%) / 5.건설·부동산(+6.0%),4,10,20251215,20251215,20.05,10.1,-9.35,-29.4
